Geography,unemployment
3501005,17.1
3501007,50
3501011,16.2
3501012,30.1
3501020,25.5
3501030,13.6
3501042,16.3
3501050,11.3
3502001,10.5
3502008,19.2
3502010,13
3502023,17.3
3502025,11.4
3502036,14.7
3502044,6.2
3502048,17.8
3506008,22.6
3507004,24.4
3507006,12.8
3507008,35.7
3507014,16.2
3507015,20.7
3507017,20
3507021,15.3
3507024,21.4
3507033,0
3507040,4.1
3507042,11.1
3507052,14.3
3507065,14.7
3509001,13
3509004,9.8
3509010,23.6
3509015,8.3
3509021,26.1
3509024,12.5
3509028,21.7
3509030,16.7
3509039,23.8
3510005,0
3510010,23.9
3510020,14.2
3510035,14.3
3510045,50
3511005,18.4
3511015,15.2
3511030,14.6
3511035,0
3512001,28.6
3512002,42.9
3512004,13.3
3512005,15.6
3512015,15.9
3512020,25
3512026,0
3512030,25.9
3512036,25
3512046,0
3512048,0
3512051,0
3512054,0
3512058,0
3512061,26.3
3512065,0
3512076,22.2
3513020,17.7
3514004,25
3514014,30.6
3514019,17.8
3514020,19.2
3514021,22.5
3514024,16.7
3514027,0
3514045,24.6
3515003,36.8
3515005,17.9
3515008,100
3515013,28.1
3515014,23
3515015,21.8
3515019,0
3515023,18.9
3515030,29.4
3515037,13.3
3515044,20
3516010,19.9
3518001,27.5
3518005,30.7
3518009,24.6
3518013,28.4
3518017,24.5
3518020,15.5
3518022,0
3518029,12.9
3518039,19.1
3519028,17.9
3519036,25.1
3519038,24.3
3519044,14.6
3519046,16.4
3519048,20.5
3519049,12.5
3519054,13.3
3519070,15.9
3519076,0
3520005,26.7
3521005,25.4
3521010,28.3
3521024,18.1
3522001,16
3522008,21.3
3522010,15.8
3522012,16.9
3522014,16.4
3522016,0
3522019,20
3522021,25.7
3523001,19.6
3523008,17.7
3523009,16.5
3523017,15.1
3523025,12.9
3523033,5.6
3523043,8.5
3523050,7.9
3524001,19.1
3524002,15.5
3524009,18.2
3524015,13.5
3525005,20.3
3526003,18.6
3526011,20.6
3526014,18.2
3526021,6.8
3526028,16.8
3526032,24.7
3526037,19.3
3526043,15.8
3526047,7.1
3526053,21.1
3526057,11
3526065,11.2
3528018,14.7
3528035,0
3528052,13.3
3529005,13.3
3529006,20.3
3529021,0
3530004,10.2
3530010,17.5
3530013,18.2
3530016,19.9
3530020,11
3530027,4.3
3530035,4
3531011,12.3
3531013,4.7
3531016,10.2
3531025,7.1
3531030,6.2
3531040,8.9
3532002,11.5
3532004,13.8
3532012,4.8
3532018,12.9
3532027,14.5
3532038,9.2
3532042,15.4
3532045,15.1
3534005,9.4
3534010,9.6
3534011,21.5
3534020,12.9
3534021,17.3
3534024,6.9
3534030,15.6
3534042,20
3536020,16.3
3536029,0
3537001,0
3537003,11.2
3537013,14.9
3537016,16.5
3537028,21.3
3537034,21.9
3537039,26.3
3537048,13
3537064,12.7
3538003,19
3538004,66.7
3538007,0
3538015,12.5
3538016,8.7
3538018,0
3538019,23.1
3538025,0
3538030,20.6
3538031,28.6
3538035,9.4
3538040,5.8
3538043,17.4
3538056,66.7
3539002,50
3539005,6.5
3539015,9
3539027,13.6
3539033,10.8
3539036,22.4
3539041,14.3
3539047,7.1
3539060,15.6
3540005,6
3540010,6.2
3540025,19.1
3540028,13.7
3540040,8
3540046,5.1
3540050,6.1
3540055,17.9
3540063,7.8
3541004,11.3
3541015,9.1
3541024,6.5
3541032,15.5
3541043,10.9
3541045,11.1
3541055,13.6
3541057,50
3541060,0
3541069,0
3542004,15.9
3542005,11.3
3542015,21.7
3542029,12.2
3542037,13.9
3542045,8.6
3542047,12
3542053,16.7
3542059,17.6
3543003,16.7
3543005,11.4
3543007,13.8
3543009,17.1
3543014,17.6
3543015,15.6
3543017,18.5
3543019,11.6
3543021,15.6
3543023,17.6
3543031,12.3
3543042,22
3543050,50
3543052,25
3543064,21.3
3543068,25
3543069,66.7
3543070,0
3543071,20
3543072,26.7
3543074,18.1
3544002,16.7
3544018,14.7
3544027,20
3544042,15.4
3544053,18.8
3544065,12.5
3544073,0
3546005,20
3546015,0
3546018,37.5
3546024,9.4
3547002,22.9
3547003,13.7
3547008,36.4
3547020,50
3547030,33.3
3547033,10.5
3547035,16.7
3547037,0
3547043,12.9
3547046,11.8
3547048,19.1
3547056,14.9
3547064,20.3
3547070,34.8
3547075,22.7
3547076,13.8
3547090,0
3547096,13
3547098,0
3548001,0
3548013,0
3548019,0
3548021,100
3548022,0
3548027,0
3548031,0
3548034,8.7
3548044,17.9
3548055,19
3548069,60
3548072,0
3548073,0
3548091,0
3548094,0
3549003,25
3549005,0
3549012,0
3549014,20
3549018,0
3549019,0
3549022,44.4
3549024,0
3549028,0
3549031,35.7
3549032,6.5
3549036,0
3549039,0
3549043,100
3549046,0
3549048,0
3549051,0
3549054,0
3549056,0
3549060,23.1
3549066,9.1
3549071,100
3549072,0
3549073,0
3549076,0
3549077,100
3549078,0
3549095,0
3549096,0
3551001,0
3551006,0
3551011,0
3551017,21.4
3551021,0
3551026,40
3551027,0
3551028,0
3551040,66.7
3551041,0
3551042,0
3551043,50
3551044,0
3551045,0
3551094,0
3551100,0
3552001,25
3552004,42.9
3552013,20
3552023,24
3552026,18.2
3552028,0
3552031,0
3552036,0
3552051,0
3552052,0
3552054,0
3552092,22.2
3552093,18.2
3553005,19.4
3553040,0
3554001,0
3554006,0
3554008,20
3554014,100
3554020,16.7
3554021,66.7
3554024,0
3554026,0
3554029,0
3554032,0
3554034,0
3554036,0
3554038,0
3554042,0
3554044,0
3554049,50
3554052,66.7
3554054,0
3554056,0
3554057,0
3554058,0
3554062,100
3554066,0
3554068,22.2
3554094,10.5
3556014,30.8
3556027,14.4
3556031,10
3556033,0
3556042,10.8
3556048,0
3556052,0
3556056,28.6
3556066,11.5
3556070,0
3556073,0
3556076,14.9
3556077,0
3556092,13.3
3556093,40
3556094,0
3556095,0
3556102,0
3556106,0
3557001,0
3557004,0
3557006,0
3557008,0
3557011,0
3557014,0
3557016,0
3557019,0
3557021,0
3557026,0
3557028,0
3557035,57.1
3557038,33.3
3557039,0
3557040,0
3557041,16.7
3557051,40
3557061,24.4
3557066,40
3557071,0
3557072,0
3557073,0
3557074,50
3557076,13.3
3557078,0
3557079,0
3557091,0
3557095,13
3557096,28.6
3558001,27.3
3558003,0
3558004,17.5
3558011,9.5
3558012,0
3558016,0
3558019,0
3558028,20
3558034,0
3558041,0
3558044,57.1
3558051,28.6
3558054,0
3558059,18.2
3558060,0
3558061,0
3558062,0
3558063,0
3558064,0
3558065,0
3558066,22.2
3558067,0
3558068,0
3558069,0
3558075,11.8
3558076,0
3558080,0
3558085,0
3558090,20
3558097,0
3559001,35.3
3559011,33.3
3559012,9.4
3559016,0
3559019,15.4
3559024,0
3559026,0
3559031,0
3559040,100
3559042,0
3559047,0
3559051,0
3559053,0
3559060,0
3559061,0
3559063,0
3559064,0
3559066,0
3559068,0
3559090,33.3
3560001,0
3560004,0
3560005,0
3560008,75
3560010,13
3560021,0
3560024,0
3560027,21
3560032,0
3560034,11.8
3560042,13.3
3560046,0
3560049,0
3560050,100
3560051,71.4
3560052,0
3560053,100
3560054,66.7
3560055,0
3560056,0
3560057,0
3560058,100
3560059,60
3560061,66.7
3560063,100
3560064,0
3560065,0
3560066,0
3560067,100
3560068,0
3560069,0
3560070,100
3560071,63.6
3560075,0
3560076,33.3
3560078,0
3560079,0
3560080,66.7
3560082,0
3560083,0
3560084,0
3560085,0
3560086,0
3560088,0
3560089,0
3560090,22.9
3560091,0
3560093,0
3560095,66.7
3560096,0
3560097,66.7
3560098,100
3560104,0
